Doublet_ID	Avg_CC	No_CC	std_m_s	No_ddt_m Date Time Lat_deg Lon_deg	Depth_km Mag Date_2 Time_2 Lat_deg_2 Lon_deg_2	Depth_km_2 Mag_2
1995009_2017173	0.950	14	0.0075	7	1995/01/09	18:54:20.650	46.165	152.233	28.7	5.2	2017/06/22	22:36:19.480	46.205	152.266	9.6	5.0
1995020_2010249	0.968	20	0.0228	16	1995/01/20	00:55:22.160	-10.990	162.145	26.5	5.8	2010/09/06	13:46:26.410	-10.965	162.173	25.5	5.7
1995096_2014277	0.960	23	0.0141	20	1995/04/06	20:47:48.970	10.927	125.971	38.4	5.4	2014/10/04	17:38:42.340	10.921	125.961	63.7	5.2
1995106_1999026	0.960	13	0.0074	5	1995/04/16	20:36:09.020	-21.017	-174.386	31.5	5.2	1999/01/26	07:04:20.900	-21.100	-174.486	33.0	5.2
1995106_2003185	0.977	11	0.0160	5	1995/04/16	20:36:09.020	-21.017	-174.386	31.5	5.2	2003/07/04	01:15:56.550	-20.962	-174.541	33.0	5.3
1995111_1995145	0.961	13	0.0114	11	1995/04/21	03:05:31.490	12.122	125.668	25.0	5.1	1995/05/25	01:31:11.120	12.122	125.670	30.0	5.0
1995114_2003075	0.959	14	0.0092	13	1995/04/24	06:08:08.540	12.226	125.840	30.3	5.5	2003/03/16	09:00:27.050	12.181	125.826	30.4	5.4
1995180_2011109	0.980	38	0.0126	22	1995/06/29	01:27:02.890	-33.912	-72.319	41.1	5.1	2011/04/19	05:50:45.370	-33.846	-72.151	13.1	5.1
1995201_2007344	0.951	6	0.0071	2	1995/07/20	11:13:37.960	0.522	-80.091	33.0	5.0	2007/12/10	18:19:07.370	0.589	-80.007	38.9	5.1
1995230_2007044	0.952	6	0.0199	4	1995/08/18	20:17:25.300	-6.609	154.680	33.0	5.4	2007/02/13	10:56:58.380	-6.655	154.655	33.0	5.4
1995270_2011053	0.970	19	0.0115	18	1995/09/27	02:05:23.680	26.423	128.872	33.0	5.0	2011/02/22	04:56:19.740	26.419	128.706	16.1	5.1
1995318_2003183	0.960	27	0.0159	17	1995/11/14	06:32:55.750	-3.682	101.924	57.0	5.1	2003/07/02	00:47:11.860	-3.643	102.060	75.2	5.1
1996065_2005249	0.980	36	0.0085	33	1996/03/05	17:32:10.180	24.033	122.241	33.0	5.9	2005/09/06	01:16:02.350	24.084	122.191	32.0	5.8
1996088_2009194	0.964	25	0.0168	21	1996/03/28	17:53:22.400	24.338	122.143	38.9	5.0	2009/07/13	20:28:54.920	24.093	122.116	37.2	5.0
1996099_2008029	0.958	9	0.0138	7	1996/04/08	20:08:30.650	-6.070	148.458	87.2	5.2	2008/01/29	22:45:06.070	-5.954	148.429	54.2	5.0
1996123_2008070	0.955	20	0.0211	18	1996/05/02	05:45:12.640	31.793	131.629	38.4	5.2	2008/03/10	01:44:33.130	31.793	131.462	53.8	5.1
1996162_1996206	0.961	40	0.0119	28	1996/06/10	06:11:49.130	51.580	-177.035	33.0	5.0	1996/07/24	23:53:22.420	51.701	-177.124	54.6	5.1
1996162_2016166	0.964	27	0.0109	19	1996/06/10	06:11:49.130	51.580	-177.035	33.0	5.0	2016/06/14	17:13:27.520	51.628	-177.053	54.2	5.1
1996163_2000168	0.962	38	0.0101	25	1996/06/11	16:38:36.710	51.486	-178.321	33.0	5.2	2000/06/16	23:33:49.980	51.433	-178.346	33.0	5.0
1996177_2002101	0.976	36	0.0088	31	1996/06/25	21:37:02.680	39.971	142.839	44.9	5.0	2002/04/11	12:04:13.480	39.987	142.813	35.9	5.3
1996177_2008152	0.984	37	0.0059	33	1996/06/25	21:37:02.680	39.971	142.839	44.9	5.0	2008/05/31	14:28:35.100	39.983	142.604	33.5	5.0
